metric_id,지표명,유형,단위,절대허용오차,month,value,sample_size,min_sample,status,원천,부분갱신,포함사유
as_order_backlog,A/S 수주 잔량,카운트형,개,,2026-08-18,9776987.0,,200,OK,stock_snapshot + order_summary,order_summary,
as_share,A/S 비중,비율형,%,,2026-08-18,0.4166738000043465,,500,OK,,,
as_stock_coverage,A/S 재고 대 실수요 배수,비율형,배,,2026-08-18,0.3919690186762036,,200,OK,,order_summary,
cancelled_order_stock,취소 수주 관련 재고금액,금액형,원,,2026-08-18,150652553.4,,500,OK,stock_snapshot + order_summary,order_summary,
excess_stock_amount,수주 초과 재고금액,금액형,원,,2026-08-18,769540250.0,,500,OK,stock_snapshot + order_summary,order_summary,
order_backlog_qty,수주 잔량,카운트형,개,,2026-08-18,18770811.0,,1000,OK,stock_snapshot + order_summary,order_summary,
order_progress_rate,수주 진행률,비율형,%,,2026-08-18,0.6666412114924855,,1000,OK,,order_summary,
overdue_order_dobun,납기 초과 도번 수,카운트형,개,,2026-08-18,329.0,329.0,100,OK,stock_snapshot + order_summary,order_summary,
plan_achievement_stock,출하 계획 달성률,비율형,%,,2026-08-18,0.8827961232089571,,1000,OK,,,
plan_rate_injection,사출 계획 달성률,비율형,%,,2026-08-18,0.9451065261883254,,500,OK,,worklog_weekly,
plan_rate_inspect,검사 계획 달성률,비율형,%,,2026-08-18,0.8338952009606877,,500,OK,,worklog_weekly,
plan_rate_laser,레이저 계획 달성률,비율형,%,,2026-08-18,0.8113475915140146,,500,OK,,worklog_weekly,
plan_rate_paint,도장 계획 달성률,비율형,%,,2026-08-18,0.6173280343987907,,500,OK,,worklog_weekly,
plan_rate_print,인쇄 계획 달성률,비율형,%,,2026-08-18,0.8423558836580741,,500,OK,,worklog_weekly,
process_gap,공정 간 달성률 격차,비율형,%,,2026-08-18,0.32777849178953467,,500,OK,stock_snapshot + worklog_weekly,worklog_weekly,
raw_material_qty,원재료 재고 수량,카운트형,개,,2026-08-18,1904602.0,,100,OK,stock_snapshot,,
stagnant_stock_amount,무출하 재고금액,금액형,원,,2026-08-18,22473366.0,,500,OK,stock_snapshot,,
stock_as_item,A/S품목 재고금액 (일반창고),금액형,원,,2026-08-18,398739724.29999995,,500,OK,stock_snapshot,,
stock_as_warehouse,A/S창고 재고금액,금액형,원,,2026-08-18,200336074.0,,100,OK,stock_snapshot,,
stock_gongjeong,공정창고 재고 수량,카운트형,개,,2026-08-18,152441.0,,200,OK,stock_snapshot,,
stock_handling,핸들링 재고금액,금액형,원,,2026-08-18,614692207.2,,500,OK,stock_snapshot,,
stock_identity_gap,재고 항등식 차이,금액형,원,1,2026-08-18,-1.1186784831807017e-10,,1000,OK,stock_snapshot,,
stock_qty_total,주간 총재고 수량,카운트형,개,,2026-08-18,9658903.0,,1000,OK,stock_snapshot,,
stock_raw_material,원재료 재고금액,금액형,원,,2026-08-18,213719859.0,,100,OK,stock_snapshot,,
stock_to_backlog_ratio,재고 대 수주잔량 배수,비율형,배,,2026-08-18,0.514158498532642,,500,OK,,order_summary,
weekly_shipment_qty,주간 출하 수량,카운트형,개,,2026-08-18,429558.0,,1000,OK,stock_snapshot,,
weekly_stock_amount,주간 총재고금액,금액형,원,,2026-08-18,1437757301.5,,1000,OK,stock_snapshot,,
