날짜,주차,차종,사출도번,등급,단가,매출단가,원재료,원재료금액,공정사출,공정사출금액,자재창고,자재창고금액,지그삽입전,지그삽입전금액,지그삽입후,지그삽입후금액,AS사출,AS사출금액,사출 총 수량,사출 총 금액,도장완료,도장완료 금액,공정창고,레이저전,인쇄,완제품 총수량,완제품 총금액,AS완제품,AS완제품금액,총수량,총금액,주간매출,주간계획,변동 수량,변동 금액
2026-08-18,34,SP2(SORENTO),299227064,A/S,34.0,100.0,0,0.0,50,1685.0,33,1123.4,12,401.2,9,321.0,38,1292.0,118,4012.0,29,986.0,6,17,7,144,4896.0,50,1700.0,291,9894.0,24,26,4,136.0
2026-08-18,34,DH(G80),299790230,A/S,31.0,102.0,0,0.0,8,247.4,5,164.9,2,58.9,2,47.1,6,186.0,19,589.0,5,155.0,1,3,1,23,713.0,8,248.0,47,1457.0,3,3,7,217.0
2026-08-18,34,PAINT,299349781,원재료,52.0,,995,51740.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,995,51740.0,0,0,-23,-1196.0
2026-08-18,34,JX1,299139477,A/S,161.0,,0,0.0,265,42735.8,177,28490.6,63,10175.2,51,8140.2,223,35903.0,632,101752.0,158,25438.0,31,93,39,771,124131.0,296,47656.0,1561,251321.0,104,114,25,4025.0
2026-08-18,34,QL(TUCSON),299355055,A/S,174.0,658.0,0,0.0,470,81776.5,313,54517.7,112,19470.6,90,15576.5,289,50286.0,1119,194706.0,280,48720.0,55,164,68,1365,237510.0,383,66642.0,2764,480936.0,138,152,280,48720.0
2026-08-18,34,CK(STINGER),299236093,A/S,73.0,,0,0.0,60,4415.0,40,2943.4,14,1051.2,12,841.0,44,3212.0,144,10512.0,36,2628.0,7,21,9,175,12775.0,59,4307.0,355,25915.0,26,29,-30,-2190.0
2026-08-18,34,CK(STINGER),299405468,A/S,86.0,313.0,0,0.0,413,35506.0,275,23670.6,98,8453.8,79,6763.0,301,25886.0,983,84538.0,246,21156.0,48,144,60,1199,103114.0,399,34314.0,2428,208808.0,139,153,66,5676.0
2026-08-18,34,QL(TUCSON),299207672,A/S,,,0,0.0,426,27283.2,284,18188.8,102,6496.0,81,5196.8,306,19584.0,1015,64960.0,254,16256.0,50,149,62,1239,79296.0,405,25920.0,2508,160512.0,112,123,62,3968.0
2026-08-18,34,TQ(STAREX),299701760,D,136.0,,0,0.0,1920,261152.6,1280,174101.8,457,62179.2,366,49743.4,213,28968.0,4572,621792.0,1143,155448.0,223,670,279,5580,758880.0,282,38352.0,11295,1536120.0,756,832,98,13328.0
2026-08-18,34,OS(KONA),299741949,A/S,104.0,,0,0.0,653,67878.7,435,45252.5,155,16161.6,124,12929.3,499,51896.0,1554,161616.0,389,40456.0,76,228,95,1897,197288.0,661,68744.0,3840,399360.0,220,242,253,26312.0
